iter	Logloss
0	0.585457649
1	0.5185649799
2	0.4743749547
3	0.4314242079
4	0.4021951581
5	0.3786970801
6	0.3666736426
7	0.3524602368
8	0.3387482978
9	0.3290453664
10	0.3183366202
11	0.3096565793
12	0.3030361545
13	0.2966539517
14	0.2901063742
15	0.2848344348
16	0.2797760865
17	0.2744926923
18	0.2711179132
19	0.2657618071
20	0.2632207054
21	0.2578771363
22	0.2552238332
23	0.2519201176
24	0.2480957165
25	0.2467709422
26	0.2445606694
27	0.2398835441
28	0.2370341529
29	0.234234692
30	0.2309481979
31	0.2296096389
32	0.2269173907
33	0.2256508775
34	0.2247492313
35	0.2223547866
36	0.220605866
37	0.2184492706
38	0.214907197
39	0.2113371378
40	0.2097495024
41	0.2084763554
42	0.2075805161
43	0.20493283
44	0.2029402344
45	0.2024612215
46	0.2015508668
47	0.1989214223
48	0.1968231783
49	0.1967505851
50	0.1966231308
51	0.1955223048
52	0.192606217
53	0.1902783695
54	0.1901883359
55	0.1882215603
56	0.1863111774
57	0.183621922
58	0.1815672717
59	0.1811729048
60	0.1775944338
61	0.1757841345
62	0.1726418266
63	0.172165415
64	0.1700390652
65	0.1679431949
66	0.1645107378
67	0.1621804117
68	0.1617043113
69	0.1593872159
70	0.1593264575
71	0.157339407
72	0.1553144392
73	0.1535712958
74	0.1504073993
75	0.1467599131
76	0.1449253018
77	0.1448598693
78	0.1417179745
79	0.1397294096
80	0.1377480184
81	0.1357030263
82	0.1331467111
83	0.1331046567
84	0.1316085581
85	0.1299566614
86	0.1274792968
87	0.1254808576
88	0.1239743295
89	0.1230577456
90	0.1215703587
91	0.1201780637
92	0.1181584493
93	0.1169797478
94	0.1160464047
95	0.113930988
96	0.1123585289
97	0.1123210629
98	0.1108077901
99	0.1099888747
