iter	Passed	Remaining
0	221	21930
1	248	12169
2	275	8893
3	301	7228
4	327	6217
5	353	5532
6	381	5070
7	407	4691
8	434	4393
9	460	4142
10	487	3941
11	513	3764
12	539	3608
13	565	3470
14	591	3349
15	616	3238
16	643	3140
17	670	3053
18	696	2968
19	722	2889
20	748	2814
21	775	2748
22	801	2682
23	827	2619
24	853	2560
25	878	2500
26	904	2446
27	930	2392
28	957	2344
29	984	2298
30	1012	2253
31	1039	2208
32	1065	2163
33	1092	2121
34	1118	2076
35	1144	2034
36	1171	1994
37	1200	1958
38	1227	1920
39	1256	1884
40	1283	1846
41	1311	1810
42	1337	1773
43	1365	1737
44	1393	1702
45	1420	1667
46	1448	1633
47	1485	1609
48	1515	1577
49	1589	1589
50	1616	1553
51	1645	1518
52	1674	1485
53	1703	1451
54	1734	1418
55	1763	1385
56	1792	1351
57	1821	1318
58	1848	1284
59	1875	1250
60	1905	1218
61	1935	1186
62	1964	1153
63	1992	1120
64	2021	1088
65	2050	1056
66	2079	1024
67	2116	996
68	2143	963
69	2170	930
70	2195	896
71	2221	863
72	2247	831
73	2274	799
74	2301	767
75	2327	735
76	2363	706
77	2389	673
78	2419	643
79	2446	611
80	2474	580
81	2502	549
82	2531	518
83	2558	487
84	2585	456
85	2612	425
86	2639	394
87	2665	363
88	2693	332
89	2720	302
90	2747	271
91	2773	241
92	2799	210
93	2825	180
94	2851	150
95	2877	119
96	2903	89
97	2934	59
98	2960	29
99	2986	0
