Z,Pressure,Grip Angle,Timestamp,Test ID,X Displacement,Y Displacement,Distance,Stable
0,42,960,1283177,0,0,0,0,0
0,80,960,1283186,0,0,0,0,0
0,119,960,1283195,0,0,0,0,0
0,161,960,1283204,0,0,0,0,0
0,194,980,1283213,0,0,0,0,0
0,241,980,1283222,0,0,0,0,0
0,273,980,1283231,0,0,0,0,0
0,305,970,1283240,0,0,0,0,0
0,344,970,1283249,0,0,0,0,0
0,378,960,1283258,0,0,0,0,0
0,403,960,1283267,0,0,0,0,0
0,423,960,1283276,0,0,0,0,0
0,437,960,1283285,0,0,0,0,0
0,449,970,1283294,0,0,0,0,0
0,463,970,1283303,0,0,0,0,0
0,474,970,1283312,0,0,0,0,0
0,487,970,1283321,0,0,0,0,0
0,496,970,1283330,0,1,0,1,0
0,509,980,1283339,0,0,0,0,0
0,518,980,1283348,0,0,0,0,0
0,529,980,1283357,0,1,1,0,0
0,539,980,1283366,0,0,0,0,0
0,546,960,1283375,0,0,0,0,0
0,553,960,1283384,0,1,0,1,0
0,561,950,1283393,0,0,0,0,0
0,566,970,1283402,0,0,1,1,0
0,572,970,1283411,0,0,0,0,0
0,577,980,1283420,0,1,0,1,0
0,582,970,1283429,0,0,0,0,0
0,586,970,1283438,0,0,0,0,0
0,594,950,1283447,0,0,0,0,0
0,598,950,1283456,0,1,0,1,0
0,602,960,1283465,0,0,1,1,0
0,605,960,1283474,0,0,0,0,0
0,609,960,1283483,0,0,0,0,0
0,612,970,1283492,0,0,1,1,0
0,614,960,1283501,0,1,0,1,0
0,617,960,1283510,0,0,0,0,0
0,621,950,1283519,0,0,0,0,0
0,621,960,1283528,0,0,1,1,0
0,627,960,1283537,0,1,0,1,0
0,628,950,1283546,0,0,0,0,0
0,631,960,1283555,0,0,1,1,0
0,635,950,1283564,0,0,0,0,0
0,635,950,1283573,0,0,0,0,0
0,640,950,1283582,0,0,1,1,0
0,641,940,1283591,0,1,0,1,0
0,645,940,1283600,0,0,0,0,0
0,650,940,1283609,0,0,0,0,0
0,652,950,1283618,0,0,1,1,0
0,655,940,1283627,0,0,0,0,0
0,657,950,1283636,0,1,1,0,0
0,656,940,1283645,0,0,0,0,0
0,661,950,1283654,0,0,1,1,0
0,663,950,1283663,0,0,0,0,0
0,665,970,1283672,0,0,1,1,0
0,666,970,1283681,0,0,0,0,0
0,668,970,1283690,0,0,0,0,0
0,669,970,1283699,0,0,0,0,0
0,670,970,1283708,0,0,1,1,0
0,673,970,1283717,0,0,0,0,0
0,673,970,1283726,0,0,1,1,0
0,672,970,1283735,0,0,0,0,0
0,672,970,1283744,0,0,1,1,0
0,674,970,1283753,0,0,0,0,0
0,671,960,1283762,0,0,0,0,0
0,675,960,1283771,0,0,1,1,0
0,675,960,1283780,0,0,0,0,0
0,677,960,1283789,0,0,0,0,0
0,676,980,1283798,0,0,1,1,0
0,678,980,1283807,0,0,0,0,0
0,678,980,1283816,0,1,0,1,0
0,679,980,1283825,0,0,0,0,0
0,680,980,1283834,0,0,0,0,0
0,680,960,1283843,0,1,0,1,0
0,682,960,1283852,0,0,1,1,0
0,681,960,1283861,0,0,0,0,0
0,683,960,1283870,0,0,0,0,0
0,682,960,1283879,0,0,0,0,0
0,682,960,1283888,0,0,1,1,0
0,681,960,1283897,0,1,0,1,0
0,684,970,1283906,0,0,0,0,0
0,684,960,1283915,0,0,0,0,0
0,684,960,1283924,0,0,1,1,0
0,685,970,1283933,0,1,0,1,0
0,684,960,1283942,0,0,0,0,0
0,683,970,1283951,0,1,0,1,0
0,685,960,1283960,0,0,1,1,0
0,687,960,1283969,0,0,0,0,0
0,685,970,1283978,0,1,0,1,0
0,686,960,1283987,0,0,0,0,0
0,686,960,1283996,0,0,0,0,0
0,687,950,1284005,0,0,1,1,0
0,687,950,1284014,0,1,0,1,0
0,687,950,1284023,0,0,0,0,0
0,687,950,1284032,0,0,0,0,0
0,685,950,1284041,0,0,0,0,0
0,688,960,1284050,0,0,0,0,0
0,688,960,1284059,0,1,0,1,0
0,689,950,1284068,0,0,0,0,0
0,688,950,1284077,0,0,0,0,0
0,690,950,1284086,0,0,0,0,0
0,689,950,1284095,0,0,0,0,0
0,693,950,1284104,0,0,0,0,0
0,695,950,1284113,0,0,0,0,0
0,698,950,1284122,0,1,0,1,0
0,697,950,1284131,0,0,0,0,0
0,699,950,1284140,0,0,0,0,0
0,699,950,1284149,0,0,0,0,0
